week,type,title,url,description
1,essential,,,
1,essential,,,
1,optional,,,
1,video,,,
2,essential,,,
2,essential,,,
2,optional,,,
2,video,,,
3,essential,,,
3,essential,,,
3,optional,,,
3,video,,,
4,essential,,,
4,essential,,,
4,optional,,,
4,video,,,
5,essential,,,
5,essential,,,
5,optional,,,
5,video,,,
6,essential,,,
6,essential,,,
6,optional,,,
6,video,,,
7,essential,,,
7,essential,,,
7,optional,,,
7,video,,,
8,essential,,,
8,essential,,,
8,optional,,,
8,video,,,
9,essential,,,
9,essential,,,
9,optional,,,
9,video,,,
10,essential,,,
10,essential,,,
10,optional,,,
10,video,,,
11,essential,,,
11,essential,,,
11,optional,,,
11,video,,,
12,essential,,,
12,essential,,,
12,optional,,,
12,video,,,
